ID,Division,RAS,RASdesc,pctinvalid,Team,Rank,Title,EducLv,Age,Sex,EthnicGrp,Citizenship,YearsofService,MyRole_Q1,MyRole_Q2,MyRole_Q3,MyRole_Q4,MyRole_Q5,MyRole_Q6,MyRole_Q7,MyRole_Q8,MyRole_Q9,MyRole_Q10,MyRole_Q11,RasManagement_Q1,RasManagement_Q2,RasManagement_Q3,RasManagement_Q4,RasManagement_Q5,RasManagement_Q6,RasManagement_Q7,RasManagement_Q8,RasManagement_Q9,RasManagement_Q10,RasManagement_Q11,RasManagement_Q12,RasManagement_Q13,RasManagement_Q14,RasManagement_Q15,WorkEnvironment_Q1,WorkEnvironment_Q2,WorkEnvironment_Q3,WorkEnvironment_Q4,WorkEnvironment_Q5,WorkEnvironment_Q6,WorkEnvironment_Q7,WorkEnvironment_Q8,WorkEnvironment_Q9,WorkEnvironment_Q10,WorkEnvironment_Q11,WorkEnvironment_Q12,WorkEnvironment_Q13,WorkEnvironment_Q14,WorkEnvironment_Q15,Communication_Q1,Communication_Q2,Communication_Q3,Communication_Q4,Communication_Q5,Communication_Q6,Communication_Q7,Communication_Q8,Communication_Q9,Training_Q1,Training_Q2,Training_Q3,Training_Q4,Training_Q5,Training_Q6,TrainingNeeds_Q1,TrainingNeeds_Q2,TrainingNeeds_Q3,TrainingNeeds_Q4,TrainingNeeds_Q5,TrainingNeeds_Q6,TrainingNeeds_Q7,TrainingNeeds_Q8,TrainingNeeds_Q9,ToolsResourcesAndProcesses_Q1,ToolsResourcesAndProcesses_Q2,ToolsResourcesAndProcesses_Q3,ToolsResourcesAndProcesses_Q4,ToolsResourcesAndProcesses_Q5,ToolsResourcesAndProcesses_Q6,ToolsResourcesAndProcesses_Q7,ToolsResourcesAndProcesses_Q8,ToolsResourcesAndProcesses_Q9,ToolsResourcesAndProcesses_Q10,ToolsResourcesAndProcesses_Q11,OverallSatisfaction_Q1,OverallSatisfaction_Q2,OverallSatisfaction_Q3,OverallSatisfaction_Q4,OverallSatisfaction_Q5,OverallSatisfaction_Q6
1,5,9,Yerkes,8.75,1,2,"Research Admin, Pre-Award II",1,61.40000153,1,2,1,26.70000076,5,5,5,5,5,4,5,5,5,,we can have more training/information classes,5,5,5,5,5,1,5,5,5,5,5,5,5,none,,5,5,5,5,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,,,4,5,5,3,4,3,0,0,1,0,0,0,0,0,,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,
2,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",7.5,1,3,"Research Admin, Pre-Award III",4,50.5,1,1,1,22,5,5,5,5,4,4,4,4,4,"There is a great deal of difference between the departments as to how they view us.  Some departments know we are there to help and are happy to have the help.  Others feel we are just putting up roadblock to their submissions, a view we have been trying o change, but have not yet made progress.",Having the leadership of the departments supportive of us.  Having the investigators respond with necessary documents in a timely manner.,4,4,5,5,5,1,5,5,5,4,5,4,5,"While our manager and director are supportive and fair, they have the same issues with dealing with the department leadership - that the investigators cannot or will not comply with our requested deadlines and SOPs",They are doing a great job with what they have to work with.,5,5,5,5,4,5,5,3,4,5,4,4,4,"Our individual unit works very well together, however, we do have some issues with communication between RAS units and between the unit and the departments",We could use an additional person to help with the workload.,5,5,5,5,4,4,5,,RAS central should let the directors/managers know if they are going to release information to the faculty that will affect how we do our jobs and give us a chance to communicate how the change(s) will affect us.,5,5,5,5,5,3,0,0,0,0,1,0,0,1,,4,4,3,4,5,5,3,5,4,,,4,4,4,5,3,
3,2,2,Basic Sciences,10,1,3,"Research Admin, Post Award III",2,62,1,3,1,28.89999962,3,3,4,4,5,2,2,2,2,"It is my opinion that the RAS Basic Science RAS,  post award is understaffed.  It appears that more and more of FGC work and responsibility is being offloaded to the RAS without adequate staff support.  In addition there have been many procedural changes s well as changes in the systems that we use.  However, this learning curve is not taken into consideration when the kpi's are reviewed.  Our work environment is substandard; it is noisy and crowded; there is no breakroom; the bathroom is shared with the ntire library and is unclean and odorous.","Although recently and in past years it is touted that research at Emory is growing, it does not appear that the RAS who are instrumental in assisting faculty in the preparation of proposals and administration of grants are truly appreciated.  This is evidnt in the conditions with which and in which we are expected to work.",2,2,4,3,2,2,3,4,2,2,2,2,4,,,3,2,2,4,4,4,2,2,2,2,5,4,4,,,4,2,3,2,2,3,3,,,3,3,3,3,3,3,0,0,0,0,0,0,0,0,,2,2,2,2,2,2,1,1,4,,,2,2,3,2,2,
4,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",6.25,1,7,"Research Admin, Pre-Award Mgr",2,58,1,2,1,26.89999962,5,5,5,3,3,2,2,3,3,I enjoy working as a team and always having someone to back me up,increase the days I can work from home. my job is completely electronic and we are completely separated from the faculty we serve. why should I have to fight traffic and come in the office with 40 noisy people.,4,4,3,4,3,2,4,2,2,3,4,4,4,none,,4,3,4,4,4,4,4,2,2,3,1,1,3,our workstations are old and falling apart--it's says a lot about how management feel about you,improve work stations,4,4,4,4,3,3,4,,,5,5,4,4,3,4,1,0,1,0,1,0,0,0,,5,2,3,3,2,2,2,2,4,,,3,3,3,3,3,
5,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",7.5,1,2,"Research Admin, Pre-Award II",2,61.70000076,1,1,1,25.70000076,4,4,5,5,5,5,5,5,5,"I am satisfied with my job in a large part due to my manager, Sherri Rushing.",More telecommuting.,4,5,5,5,5,1,4,4,4,4,5,5,5,,A clearer path to advancement to a level III.,5,5,5,5,4,4,4,4,2,5,4,4,3,"It can get noisy at times making it hard to concentrate.  When that happens I put in earphones, but I don't like doing that in case I miss out on my manager calling for me.",More windows.,3,3,3,3,3,3,3,Pre- and post-award responsibilities are not clear and do not seem to be consistently enforced.,Instead of just posting the official rules or new policies it is good to have a real-life example.,4,3,4,3,2,4,0,1,0,0,0,0,0,1,Most training is post-award.  More pre-award traiing would be nice when new NIH policies come through.,4,3,3,3,5,5,4,5,5,,,4,4,5,5,4,
6,3,8,Public Health and Nursing,5,1,3,"Research Admin, Post Award III",2,63.79999924,1,1,1,21.20000076,4,2,3,4,5,1,2,2,2,"too much work, too little help","less work, more people",4,4,4,3,3,4,2,2,2,3,2,4,4,,,4,4,4,4,4,3,3,4,2,2,3,3,4,,,4,4,4,4,4,3,4,,,3,3,2,3,4,2,0,0,1,0,0,1,1,1,,2,3,1,2,1,1,1,4,3,,,3,3,4,3,2,
7,2,1,"Anesthesiology, Brain Health, Orthopaedics, and Surgical Services",5,1,3,"Research Admin, Pre-Award III",3,43.79999924,1,3,1,22.20000076,5,5,4,4,4,3,4,4,4,My supervisor is the main reason i am satisfied with my job.  She has my back on all aspects which i very much appreciate.,A raise.,4,4,4,4,5,2,5,3,4,4,4,3,5,"I don't think the RAS Director has our backs as much as our supervisor.  There are definite management issues in our post award which it seems no one wants to address so they are looking for reasons to blame things on pre-award.  I don't think treatment i fair and there is more of a divide than there ever was between pre- and post award.  I wouldn't say our team is split, but it is moving in that direction.  I am becoming dissatisfied with the increasing distinction between the two teams and it is making or more of a divisive work environment that wasn't the case before.",I think that there is too much emphasis on the division of pre- and post award.  Also there is not enough proactivity on the post award side to communicate and also to find information that is available to every one.  I get the feeling that some post awar analysts think they are better than pre-award or more important when in actuality we should be working as a team for the greater good.  They seem more concerned with what we are doing than their own  work.  Which leads me to believe they don't understandhow pre-award works-we have ebbs and flows with grant deadlines and our work load cannot be compared to theirs which is more stable.,3,3,3,4,4,5,4,3,3,4,4,4,3,Going back to the statements before i don't like the differentiation that is increasing putting us against each other.,I think the set up of the cubes could be changed.,4,4,4,4,4,3,4,,more transparency as to what is the overall goals and how the RAS is supposed to meet them.,4,3,3,3,4,2,0,1,0,0,1,0,1,1,VA MOUs needs to be more formal and specific if RAS is supposed to be using them.,4,4,2,3,4,4,3,4,4,,,4,3,4,4,3,
8,2,5,Department of Medicine,6.25,1,3,"Research Admin, Post Award III",2,60.40000153,1,1,1,5.5,4,4,4,4,4,4,4,4,4,,,5,4,5,4,4,2,4,4,4,4,4,4,4,,,4,4,4,4,4,4,4,3,4,4,4,4,4,,,4,4,4,4,4,4,4,,,4,4,4,4,3,4,1,0,0,0,1,1,0,0,,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,
9,1,4,College and Professional Schools,2.5,1,1,"Research Admin, Post-Award I",1,59.5,1,3,1,23.5,4,4,5,5,5,3,5,5,4,,On hand training or guidance through the SOP. Sometimes it days hours to fully follow and comprehend the steps. I learn better through videos or actually working with someone.,4,5,5,5,5,1,5,3,3,3,3,5,5,,,4,4,4,5,4,4,4,3,4,4,4,5,4,,,4,4,4,4,5,5,4,,,3,3,3,3,4,3,1,1,1,1,1,1,0,0,"A Job Aid for SOP  like the Compass Upgrade Job Aid Library . Step by Step instructions with screenshots. And, a search tool for quick access.",3,2,3,3,4,3,3,5,5,,SOP set up like the Compass Upgrade Job Aid Library. Step by Step instructions and screenshots,5,5,5,5,5,
10,2,6,Hospital and Specialty Services,7.5,1,3,"Research Admin, Pre-Award III",3,57.40000153,0,1,1,18,5,3,4,5,5,3,2,4,4,I HAVE PROVIDED POSITIVE RECOMMENDATIONS TO UPPER MANAGEMENT AND THEY DO NOT RESPOND TO MY INPUT,,5,5,5,4,5,3,5,5,3,3,4,3,3,,,5,4,5,5,4,5,4,4,3,4,2,4,2,,,4,4,4,3,3,4,4,,,4,4,4,2,4,4,0,0,1,0,0,0,0,1,,4,4,3,4,4,4,4,4,5,,,4,3,4,4,4,
